0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:31:09 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8860
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:31:09 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:31:09 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:31:09 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:36:07 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:36:07 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:36:07 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:36:07 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:36:07 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:37:51 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8897
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:37:52 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:37:52 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:37:52 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:37:52 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:40:48 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8972
